4.9-4.18.2018, 快晴前期, by 16 young japanese artists, /1f/kaisei.html, show
4.1.2018 (Sun) 5pm-, #1APR18SUN, by shoji funakawa | gaku kurokawa | KeitaroTamura | aoi hatsushiba, /series/1APR18SUN.html, live
3.21.2018 (Wed), chotto crazy <3, by Nice shop su, http://chottocrazy.pe.hu/, community
3.21-4.4.2018, 00, by Nice shop su, /1f/00.html, show
3.18.2018 (Sun) 5pm-9pm, chotto crazy 2 B, "by Woopheadclrms, KeitaroTamura, zeki, ดบ『Dove, さえ", http://chottocrazy.pe.hu/, community
3.17.2018 (Sat) 6pm-, Masahiro Takahashi Tour, by Masahiro Takahashi | Yousei Suzuki | miyuki,none, live
3.11.2018 (Sun) 4pm-, keta fes 2.0, by seaketa,none, dj
3.5.2018 (Mon), haiku, The theme is Today, /up/reading/haiku/, community
3.5-3.18.2018, 05, by Laurel Schwulst | Woopheadclrms, /1f/05.html, show
3.4.2018 (Mon) 7pm-, open studio, by Woopheadclrms | Guest: 天空戦記シェニト, /1f/05.html, community
2.27.2018 (Tue) 7pm-, 地図を作ろう, ,none, workshop
2.24-2.25.2018 (Sat/Sun), tbpj, by haruka & kaho,none, shop
2.25.2018 (Sun) 3pm-9pm, chotto crazy, "by shaisuke, zeki, haruka, kaori, kazuma",none, live
2.24.2018 (Sat) 3pm-9pm, keta fes, by seaketa,none, live
2.19-2.28.2018, 04, by emeraldclitoris, /1f/04.html, show
2.9.2018 (Fri) 7pm-, talk session, by Takamitsu Ohta | Ootsusan | Sasajima, /1f/03.html, community
2.8.2018 (Thu) 8pm-, special event, by saya (tenniscoats), /1f/03.html, live
2.7.2018 (Wed) 7pm-, Nissed / 温める, by Soshi Matsunobe | Muku Kobayashi, /1f/03.html, workshop
2.5.2018 (Mon) 7pm-, pseudo world tour, by Shoji Funakawa, /1f/03.html, live
2.3-2.11.2018, 03, by Takamitsu Ohta | Muku Kobayashi | Shoji Funakawa | Soshi Matsunobe, /1f/03.html, show
2.2.2018 (Fri) 5pm-, Let’s make Pickles together!, by Keisuke Iiri,none, workshop
2.2-2.4.2018, Pure Voyage, by Keisuke Iiri,none, shop
1.26.2018 (Fri) 6pm-, Let’s make website together, with ayami konishi | Haruka,none, community
1.24.2018 (Wed) 7pm-, 水に石を落とす映像を撮る, by Dove, /1f/02.html, community
1.22.2018 (Mon) 7pm-, 何かを壊したり割ったり、粘土で四角を作ったり, by 6.7.r.n | one other person, /1f/02.html, community
1.19.2018 (Fri) 7pm-, 湯気を眺めたり、ユーフォニアムの演奏を聞いたり, by ootsusan | мкт∵, /1f/02.html, community
1.14.2018 (Sun) 5pm-, reading, by chika4ngel | 5ft46 | one other person, /1f/02.html, live
1.12-1.24.2018, 02, by Sarah Marshall | Natalia Panzer, /1f/02.html, show
12.29.2018 (Fri) 3pm-8pm, 〜當たる戌歳〜　ディナミ座年末顔見世興行2017, FREE EVENT,none, dj
12.26.2017 (Tue) 6pm-, 砂を移動させる, FREE EVENT,none, community
12.17.2017 (Sun) 5pm-, concert, by 江崎將史 | Theodore Cale Schafer | aoosya, /1f/01.html, live
12.16.2017 (Sat) 6pm-, talk session, Special guest : 服部峻, /1f/01.html, community
12.16-12.27.2017, 01, by 斎藤玲児 | 0100011110001, /1f/01.html, show
